STARTING PORTFOLIO BACKTEST - Initial Capital: Rs. 500000.0
--------------------------------------------------
[2019-01-15] BUY  ACC        | Qty:   33 | Cost: Rs. 48953.85
[2019-01-15] SELL ADANIENSOL | Reason: TRAILING STOP        | PnL: Rs.  3327.50
[2019-01-15] BUY  ADANIPORTS | Qty:  129 | Cost: Rs. 49684.35
[2019-01-15] BUY  AIAENG     | Qty:   30 | Cost: Rs. 49999.50
[2019-01-15] SELL BAJAJHLDNG | Reason: TRAILING STOP        | PnL: Rs.   454.40
[2019-01-15] BUY  BAJFINANCE | Qty:   19 | Cost: Rs. 49479.80
[2019-01-15] BUY  BALRAMCHIN | Qty:  449 | Cost: Rs. 49951.25
[2019-01-16] SELL AARTIIND   | Reason: TRAILING STOP        | PnL: Rs.  2815.20
[2019-01-16] SELL ACC        | Reason: TRAILING STOP        | PnL: Rs.  -313.50
[2019-01-16] BUY  ACE        | Qty:  509 | Cost: Rs. 49983.80
[2019-01-16] SELL AIAENG     | Reason: HARD STOP (1%)       | PnL: Rs.  -862.50
[2019-01-16] SELL APLLTD     | Reason: TRAILING STOP        | PnL: Rs.   -49.80
[2019-01-16] BUY  ASAHIINDIA | Qty:  192 | Cost: Rs. 49747.20
[2019-01-16] BUY  AVANTIFEED | Qty:  130 | Cost: Rs. 49705.50
[2019-01-16] SELL BAJFINANCE | Reason: HARD STOP (1%)       | PnL: Rs.  -652.65
[2019-01-16] BUY  BALAMINES  | Qty:  103 | Cost: Rs. 49960.15
[2019-01-16] BUY  BDL        | Qty:  344 | Cost: Rs. 49880.00
[2019-01-16] SELL CASTROLIND | Reason: TRAILING STOP        | PnL: Rs.  2220.75
[2019-01-16] BUY  CENTURYTEX | Qty:   55 | Cost: Rs. 49621.00
[2019-01-17] SELL ACE        | Reason: TRAILING STOP        | PnL: Rs.  -432.65
[2019-01-17] BUY  ADANIPOWER | Qty:  983 | Cost: Rs. 49985.55
[2019-01-17] SELL ASAHIINDIA | Reason: HARD STOP (1%)       | PnL: Rs.  -710.40
[2019-01-17] SELL AVANTIFEED | Reason: TRAILING STOP        | PnL: Rs.  -377.00
[2019-01-17] BUY  AXISBANK   | Qty:   73 | Cost: Rs. 49395.45
[2019-01-17] SELL BALAMINES  | Reason: TRAILING STOP        | PnL: Rs.  -283.25
[2019-01-17] SELL BALRAMCHIN | Reason: TRAILING STOP        | PnL: Rs.  -314.30
[2019-01-17] BUY  BHEL       | Qty:  712 | Cost: Rs. 49946.80
[2019-01-17] BUY  BLS        | Qty: 1658 | Cost: Rs. 49988.70
[2019-01-17] BUY  BLUEDART   | Qty:   14 | Cost: Rs. 46713.80
[2019-01-17] SELL CENTURYTEX | Reason: TRAILING STOP        | PnL: Rs.  -453.75
[2019-01-17] SELL CESC       | Reason: TRAILING STOP        | PnL: Rs.  2444.80
[2019-01-18] SELL ADANIPOWER | Reason: TRAILING STOP        | PnL: Rs.   -98.30
[2019-01-18] SELL ARE_M      | Reason: TRAILING STOP        | PnL: Rs.  1778.70
[2019-01-18] BUY  ATUL       | Qty:   14 | Cost: Rs. 49739.90
[2019-01-18] SELL AXISBANK   | Reason: HARD STOP (1%)       | PnL: Rs.  -879.65
[2019-01-18] SELL BDL        | Reason: HARD STOP (1%)       | PnL: Rs.  -963.20
[2019-01-18] BUY  BIOCON     | Qty:  153 | Cost: Rs. 49878.00
[2019-01-18] SELL BLS        | Reason: TRAILING STOP        | PnL: Rs.  -414.50
[2019-01-18] SELL BLUEDART   | Reason: TRAILING STOP        | PnL: Rs.  -133.70
[2019-01-18] BUY  CCL        | Qty:  183 | Cost: Rs. 49858.35
[2019-01-21] BUY  ABBOTINDIA | Qty:    6 | Cost: Rs. 49277.40
[2019-01-21] SELL ADANIPORTS | Reason: TRAILING STOP        | PnL: Rs.  1425.45
[2019-01-21] BUY  ALKYLAMINE | Qty:  149 | Cost: Rs. 49855.40
[2019-01-21] BUY  ALLCARGO   | Qty: 1801 | Cost: Rs. 49977.75
[2019-01-21] BUY  ASIANPAINT | Qty:   35 | Cost: Rs. 49773.50
[2019-01-21] BUY  BLUESTARCO | Qty:  162 | Cost: Rs. 49798.80
[2019-01-22] BUY  ABB        | Qty:   48 | Cost: Rs. 49132.80
[2019-01-22] SELL ABBOTINDIA | Reason: TRAILING STOP        | PnL: Rs.    -3.00
[2019-01-22] BUY  AJANTPHARM | Qty:   64 | Cost: Rs. 49769.60
[2019-01-22] SELL ALKYLAMINE | Reason: TRAILING STOP        | PnL: Rs.   -44.70
[2019-01-22] SELL ALLCARGO   | Reason: TRAILING STOP        | PnL: Rs.   -90.05
[2019-01-22] SELL ASIANPAINT | Reason: HARD STOP (1%)       | PnL: Rs.  -530.25
[2019-01-22] SELL ATUL       | Reason: HARD STOP (1%)       | PnL: Rs. -1096.20
[2019-01-22] BUY  BORORENEW  | Qty:  638 | Cost: Rs. 49987.30
[2019-01-22] SELL CCL        | Reason: TRAILING STOP        | PnL: Rs.   -27.45
[2019-01-23] SELL ABB        | Reason: HARD STOP (1%)       | PnL: Rs.  -597.60
[2019-01-23] SELL AJANTPHARM | Reason: TRAILING STOP        | PnL: Rs.   -44.80
[2019-01-23] BUY  ASTRAZEN   | Qty:   30 | Cost: Rs. 49593.00
[2019-01-23] BUY  BATAINDIA  | Qty:   43 | Cost: Rs. 49920.85
[2019-01-23] BUY  BHARATFORG | Qty:  102 | Cost: Rs. 49990.20
[2019-01-23] SELL BHEL       | Reason: HARD STOP (1%)       | PnL: Rs.  -569.60
[2019-01-23] SELL BLUESTARCO | Reason: HARD STOP (1%)       | PnL: Rs.  -534.60
[2019-01-23] SELL BORORENEW  | Reason: TRAILING STOP        | PnL: Rs.  -159.50
[2019-01-24] SELL ASTRAZEN   | Reason: HARD STOP (1%)       | PnL: Rs. -1222.50
[2019-01-24] BUY  ATGL       | Qty:  502 | Cost: Rs. 49923.90
[2019-01-24] SELL BATAINDIA  | Reason: TRAILING STOP        | PnL: Rs.  -348.30
[2019-01-24] SELL BHARATFORG | Reason: HARD STOP (1%)       | PnL: Rs. -1458.60
[2019-01-24] SELL BIOCON     | Reason: TRAILING STOP        | PnL: Rs.  1384.65
[2019-01-24] BUY  BSOFT      | Qty:  387 | Cost: Rs. 49903.65
[2019-01-25] SELL ATGL       | Reason: HARD STOP (1%)       | PnL: Rs.  -677.70
[2019-01-25] BUY  BRITANNIA  | Qty:   15 | Cost: Rs. 48099.75
[2019-01-25] SELL BSOFT      | Reason: HARD STOP (1%)       | PnL: Rs. -6404.85
[2019-01-25] BUY  CDSL       | Qty:  214 | Cost: Rs. 49872.70
[2019-01-25] BUY  CESC       | Qty:  726 | Cost: Rs. 49985.10
[2019-01-28] BUY  AARTIIND   | Qty:  127 | Cost: Rs. 49714.15
[2019-01-28] BUY  APARINDS   | Qty:   80 | Cost: Rs. 49812.00
[2019-01-28] BUY  ASAHIINDIA | Qty:  195 | Cost: Rs. 49842.00
[2019-01-28] SELL BRITANNIA  | Reason: TRAILING STOP        | PnL: Rs.   -48.00
[2019-01-28] SELL CDSL       | Reason: HARD STOP (1%)       | PnL: Rs. -1498.00
[2019-01-28] SELL CESC       | Reason: HARD STOP (1%)       | PnL: Rs.  -834.90
[2019-01-29] SELL AARTIIND   | Reason: HARD STOP (1%)       | PnL: Rs.  -501.65
[2019-01-29] SELL APARINDS   | Reason: TRAILING STOP        | PnL: Rs.   -80.00
[2019-01-29] SELL ASAHIINDIA | Reason: TRAILING STOP        | PnL: Rs.  -117.00
[2019-01-29] BUY  BANKBARODA | Qty:  439 | Cost: Rs. 49936.25
[2019-01-29] BUY  BANKINDIA  | Qty:  509 | Cost: Rs. 49958.35
[2019-01-30] BUY  APLLTD     | Qty:   83 | Cost: Rs. 49737.75
[2019-01-30] BUY  ASTRAL     | Qty:   98 | Cost: Rs. 49921.20
[2019-01-30] BUY  AXISBANK   | Qty:   72 | Cost: Rs. 49748.40
[2019-01-30] SELL BANKBARODA | Reason: TRAILING STOP        | PnL: Rs.   -21.95
[2019-01-30] BUY  CASTROLIND | Qty:  306 | Cost: Rs. 49923.90
[2019-01-31] BUY  ACC        | Qty:   35 | Cost: Rs. 49817.25
[2019-01-31] BUY  AMBUJACEM  | Qty:  238 | Cost: Rs. 49956.20
[2019-01-31] SELL APLLTD     | Reason: TRAILING STOP        | PnL: Rs.  -464.80
[2019-01-31] BUY  AVANTIFEED | Qty:  140 | Cost: Rs. 49938.00
[2019-01-31] BUY  BEL        | Qty: 1792 | Cost: Rs. 49996.80
[2019-01-31] BUY  BHARATFORG | Qty:  101 | Cost: Rs. 49793.00
[2019-01-31] SELL CASTROLIND | Reason: HARD STOP (1%)       | PnL: Rs. -1377.00
[2019-02-01] SELL ACC        | Reason: TRAILING STOP        | PnL: Rs.  -273.00
[2019-02-01] BUY  ASHOKLEY   | Qty:  636 | Cost: Rs. 49989.60
[2019-02-01] BUY  ASIANPAINT | Qty:   34 | Cost: Rs. 49544.80
[2019-02-01] SELL ASTRAL     | Reason: HARD STOP (1%)       | PnL: Rs.  -862.40
[2019-02-01] SELL AVANTIFEED | Reason: HARD STOP (1%)       | PnL: Rs. -1491.00
[2019-02-01] SELL AXISBANK   | Reason: TRAILING STOP        | PnL: Rs.  1893.60
[2019-02-01] SELL BANKINDIA  | Reason: HARD STOP (1%)       | PnL: Rs. -1679.70
[2019-02-01] BUY  BHARTIARTL | Qty:  163 | Cost: Rs. 49894.30
